source,url,status,detected_date
https://good-apps.jp/media/column/25192,https://transit.yahoo.co.jp,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/app/tool/news-reading-apps/,https://good-apps.jp/media/column/app/tool/news-reading-apps/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/app/tool/yahoo-news-app-howto-notice-setting/,https://good-apps.jp/media/column/app/tool/yahoo-news-app-howto-notice-setting/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/app/nhk-news-prevention-how-to-use/,https://good-apps.jp/media/column/app/nhk-news-prevention-how-to-use/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/app/smartnews-gives-rakutenpoints/,https://good-apps.jp/media/column/app/smartnews-gives-rakutenpoints/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/7688,https://good-apps.jp/media/column/7688,404,2025-03-04 05:56:55
https://good-apps.jp/media/column/出典：https:/www.freee.co.jp/,https://good-apps.jp/media/column/出典：https:/www.freee.co.jp/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/app/free-news-app-recommendation-ranking,https://good-apps.jp/media/column/app/free-news-app-recommendation-ranking,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/app/free-news-app-recommendation-ranking/,https://good-apps.jp/media/column/app/free-news-app-recommendation-ranking/,404,2025-03-01 07:50:39
https://good-apps.jp/media/app/20835,https://good-apps.jp/media/app/20835,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-10 11:37:35
https://good-apps.jp/media/column/25625,https://with.is/with_reports%EF%BC%89%E3%82%92%E8%A6%8B%E3%81%A6%E3%81%BF%E3%82%8B%E3%81%A8%E3%80%81,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/21483,https://with.is/with_reports%EF%BC%89%E3%82%92%E8%A6%8B%E3%81%A6%E3%81%BF%E3%82%8B%E3%81%A8%E3%80%81,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/20979,https://with.is/with_reports%EF%BC%89%E3%82%92%E8%A6%8B%E3%81%A6%E3%81%BF%E3%82%8B%E3%81%A8%E3%80%81,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/16702,https://with.is/with_reports%EF%BC%89%E3%82%92%E8%A6%8B%E3%81%A6%E3%81%BF%E3%82%8B%E3%81%A8%E3%80%81,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/16637,https://with.is/with_reports%EF%BC%89%E3%82%92%E8%A6%8B%E3%81%A6%E3%81%BF%E3%82%8B%E3%81%A8%E3%80%81,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/9136,https://www3.nhk.or.jp/news/html/20231215/k10014289031000.html,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/6065,http://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/6065,https://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/6056,http://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/6056,https://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/app/17024,https://blog.jagat.io/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/7347,https://uqey.com/lp/brandlp/?utm_source=google&utm_medium=search&utm_campaign=zenkoku_nichizyo_kanko_shimei&gad_source=1&gclid=EAIaIQobChMIq_L2q5ffhQMVkWwPAh3UhwsbEAAYASAAEgKjVvD_BwE,404,2025-03-07 07:55:01
https://good-apps.jp/media/column/421,https://www.eigo-net.jp/easy_reading/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/7125,http://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/7125,https://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/app/17497,http://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/app/17497,https://neofirst.co.jp/app/,404,2025-03-01 07:50:39
https://good-apps.jp/media/column/19097,https://good-apps.jp/media/column/19097,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/18061,https://good-apps.jp/media/column/18061,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/15640,https://good-apps.jp/media/column/15640,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/15617,https://good-apps.jp/media/column/15617,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/15373,https://good-apps.jp/media/column/15373,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/12957,https://good-apps.jp/media/column/12957,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/12045,https://good-apps.jp/media/column/12045,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/11577,https://good-apps.jp/media/column/11577,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/10574,https://good-apps.jp/media/column/10574,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/10145,https://good-apps.jp/media/column/10145,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/10182,https://good-apps.jp/media/column/10182,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/column/8648,https://good-apps.jp/media/column/8648,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-13 08:16:31
https://good-apps.jp/media/category/maps-navigation,https://good-apps.jp/media/category/maps-navigation,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/transportation,https://good-apps.jp/media/category/transportation,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/shopping-auction,https://good-apps.jp/media/category/shopping-auction,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/finance-money,https://good-apps.jp/media/category/finance-money,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/study,https://good-apps.jp/media/category/study,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
